Tool Name,Resource Link,Type,Contacts,Comments,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22
AI Sandbox Models list,https://pages.github.corp.ebay.com/aisandbox/docs/Application%20developer%20SDK/#models-supported,Info Resource,,List of all the supported models for the AI Sandbox,,,,,,,,,,,,,,,,,,,,,,
eBay AI Intake Portal,https://ebayinc.service-now.com/aiintake,Info Resource,,where to submit new AI applications,,,,,,,,,,,,,,,,,,,,,,
AI Essentials at eBay,https://hub.corp.ebay.com/site/itss/page/ebayaiessentials/,Info Resource,,Ebay's AI learning hub,,,,,,,,,,,,,,,,,,,,,,
Generative AI Guideline,https://hub.corp.ebay.com/site/cpt/page/generativeaiguidelines,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
( other ai tools list ),https://wiki.corp.ebay.com/display/PROMOTEDLISTINGS/AI+Tools+Reference,Info Resource,,Another wiki with AI tools - no tools we don't already list ) ,,,,,,,,,,,,,,,,,,,,,,
Creating Apps in HubGPT,https://wiki.corp.ebay.com/display/innovation/HubGPT+Platform+Assistant+Onboarding+Process,Info Resource,,Extending HubGPT with new apps,,,,,,,,,,,,,,,,,,,,,,
AI Red Team ( HubTV) ,https://hubtv.corp.ebay.com/#/groups/QAkaN3,Info Resource,,,,,,,,,,,,,,,,,,,,,,,,
AI Conference 2024,https://hubtv.corp.ebay.com/#/groups/O3WvK4,Info Resource,,Many videos about AI resources at eBay,,,,,,,,,,,,,,,,,,,,,,
Beyond Copilot ( presentation ) ,Beyond-Copilot,Info Resource,,"Presentation about tools beyond Copilot including Cline, ebay Coder, Poolside",,,,,,,,,,,,,,,,,,,,,,
Chomsky AI Chat Completion,https://chomskysandboxjs.pp.vip.ebay.com/ais/chat,Application,,"Chomsky AI Chat Sandbox
HubTV: https://hubtv.corp.ebay.com/#/groups/W3YGVA",,,,,,,,,,,,,,,,,,,,,,
