Name,Link,Description,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23
From OpenAPI spec to MCP: how we built Xata's MCP server | xata,https://xata.io/blog/built-xata-mcp-server,,,,,,,,,,,,,,,,,,,,,,,,
The future of AI interaction: Beyond just text,https://www.epicai.pro/the-future-of-ai-interaction-beyond-just-text-w22ps,,,,,,,,,,,,,,,,,,,,,,,,
A Critical Look at MCP- Raz Blog,https://raz.sh/blog/2025-05-02_a_critical_look_at_mcp,,,,,,,,,,,,,,,,,,,,,,,,
GitHub - auto-browse/unbundle_openapi_mcp: MCP to unbundle Large OpenAPI Spec,https://github.com/auto-browse/unbundle_openapi_mcp,,,,,,,,,,,,,,,,,,,,,,,,
Jake Gaylor,https://ai.jakegaylor.com/,,,,,,,,,,,,,,,,,,,,,,,,
Agent2Agent and MCP: An End-to-End Tutorial for a complete Agentic Pipeline | Matteo Villosio Personal Blog,https://matteovillosio.com/post/agent2agent-mcp-tutorial/,,,,,,,,,,,,,,,,,,,,,,,,
Introducing MCP Catalog and Toolkit | Docker,https://www.docker.com/blog/introducing-docker-mcp-catalog-and-toolkit/,,,,,,,,,,,,,,,,,,,,,,,,
"The Strategy Behind MCP. Model Context Protocol (MCP), first… | by Fintan Ryan | Apr, 2025 | Medium",https://medium.com/@fintanr/the-strategy-behind-mcp-5d1cea61ee7b,,,,,,,,,,,,,,,,,,,,,,,,
"MCPs, Gatekeepers, and the Future of AI - by Charlie Graham",https://iamcharliegraham.substack.com/p/mcps-gatekeepers-and-the-future-of,,,,,,,,,,,,,,,,,,,,,,,,
Deploying MCP Servers on AWS Lambda with MCPEngine | FeatureForm,https://www.featureform.com/post/deploy-mcp-on-aws-lambda-with-mcpengine,,,,,,,,,,,,,,,,,,,,,,,,
GitHub - harishsg993010/damn-vulnerable-MCP-server,https://github.com/harishsg993010/damn-vulnerable-MCP-server,,,,,,,,,,,,,,,,,,,,,,,,
Norman Finance MCP Server,https://github.com/norman-finance/norman-mcp-server,,,,,,,,,,,,,,,,,,,,,,,,
"Go, GraphQL, and MCP: A New Era For Developer Tools – Hypermode",https://hypermode.com/blog/go-graphql-mcp,,,,,,,,,,,,,,,,,,,,,,,,
Protocols for the Agentic Era - by Anup Jadhav,https://www.anup.io/p/protocols-for-the-agentic-era,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/pydantic/pydantic-ai/tree/main/mcp-run-python,https://github.com/pydantic/pydantic-ai/tree/main/mcp-run-python,,,,,,,,,,,,,,,,,,,,,,,,
"GitHub - mcp-ecosystem/mcp-gateway: 🧩 MCP Gateway - A lightweight gateway service that instantly transforms existing APIs into MCP servers with zero code changes. Features Docker deployment and management UI, requiring no infrastructure modifications.",https://github.com/mcp-ecosystem/mcp-gateway,,,,,,,,,,,,,,,,,,,,,,,,
Serverless Framework - MCP Server,https://www.serverless.com/framework/docs/guides/mcp,,,,,,,,,,,,,,,,,,,,,,,,
MCP Gateway | Connect GraphQL to AI Models | WunderGraph Cosmo,https://wundergraph.com/mcp-gateway,,,,,,,,,,,,,,,,,,,,,,,,
GitHub - kordless/EvolveMCP: Your appetite for code + Claude's capabilities = Limitless creation. No experience required - just pure hunger! 🧠⚡💻,https://github.com/kordless/EvolveMCP,,,,,,,,,,,,,,,,,,,,,,,,
MCP and LLM Security Research Briefing | Wiz Blog,https://www.wiz.io/blog/mcp-security-research-briefing,,,,,,,,,,,,,,,,,,,,,,,,
MCP vs ACP: AI Protocols for Context and Agent Orchestration | Tech Oriented Chronicles🔮 of Petros,https://www.petrostechchronicles.com/blog/ACP_vs_MCP,,,,,,,,,,,,,,,,,,,,,,,,
https://github.com/imprvhub/mcp-claude-spotify,https://github.com/imprvhub/mcp-claude-spotify,,,,,,,,,,,,,,,,,,,,,,,,
MCP Lite - A Simplified Approach to Model Context Protocol Integration · modelcontextprotocol · Discussion #314 · GitHub,https://github.com/orgs/modelcontextprotocol/discussions/314,,,,,,,,,,,,,,,,,,,,,,,,
"Model Context Protocol (MCP), clearly explained (why it matters)",https://youtu.be/7j_NE6Pjv-E?feature=shared,,,,,,,,,,,,,,,,,,,,,,,,
https://www.linkedin.com/posts/reuvencohen_github-githubgithub-mcp-server-githubs-activity-7314067889714540545-rCVi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAW4S0Be4FXfRqOOOryi6IvFAz2F7qQ8LI,https://www.linkedin.com/posts/reuvencohen_github-githubgithub-mcp-server-githubs-activity-7314067889714540545-rCVi?utm_source=share&utm_medium=member_desktop&rcm=ACoAAAAW4S0Be4FXfRqOOOryi6IvFAz2F7qQ8LI,,,,,,,,,,,,,,,,,,,,,,,,
Everything you need to get up and running with MCP – Anthropic's USB-C for AI,https://www.theregister.com/2025/04/21/mcp_guide/,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Context Engineering for Coding Agents,https://github.com/humanlayer/advanced-context-engineering-for-coding-agents/blob/main/ace-fca.md,,,,,,,,,,,,,,,,,,,,,,,,
